,Name,Location,Contact Number,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
35,Chili's Grill & Bar,"3494 Sports Arena Blvd. San Diego, CA 92110",(619) 223-1107,"Bussines hour: 11:00 AM - 10:00 PM Happy hour: 11:00 AM -  6:00 PM Today deal: $3 16oz. Bud Light / $4 22oz. Bud Light, 16oz. Modelo / $5 22oz. Modelo, Red & White Wine by the Glass / $6 Tequila Trifecta, Straw-Eddy Rita, Sangria Rita $3 16oz. Bud Light / $4 22oz. Bud Light, 16oz. Modelo / $5 22oz. Modelo, Red & White Wine by the Glass / $6 Tequila Trifecta, Straw-Eddy Rita, Sangria Rita","Bussines hour: 11:00 AM - 10:00 PM Happy hour: 3:00 PM -  6:00 PM Today deal: $3 16oz. Bud Light / $4 22oz. Bud Light, 16oz. Modelo / $5 22oz. Modelo, Red & White Wine by the Glass / $6 Tequila Trifecta, Straw-Eddy Rita, Sangria Rita $3 16oz. Bud Light / $4 22oz. Bud Light, 16oz. Modelo / $5 22oz. Modelo, Red & White Wine by the Glass / $6 Tequila Trifecta, Straw-Eddy Rita, Sangria Rita","Bussines hour: 11:00 AM - 10:00 PM Happy hour: 3:00 PM -  6:00 PM Today deal: $3 16oz. Bud Light / $4 22oz. Bud Light, 16oz. Modelo / $5 22oz. Modelo, Red & White Wine by the Glass / $6 Tequila Trifecta, Straw-Eddy Rita, Sangria Rita $3 16oz. Bud Light / $4 22oz. Bud Light, 16oz. Modelo / $5 22oz. Modelo, Red & White Wine by the Glass / $6 Tequila Trifecta, Straw-Eddy Rita, Sangria Rita","Bussines hour: 11:00 AM - 10:00 PM Happy hour: 3:00 PM -  6:00 PM Today deal: $3 16oz. Bud Light / $4 22oz. Bud Light, 16oz. Modelo / $5 22oz. Modelo, Red & White Wine by the Glass / $6 Tequila Trifecta, Straw-Eddy Rita, Sangria Rita","Bussines hour: 11:00 AM - 10:00 PM Happy hour: 3:00 PM -  6:00 PM Today deal: $3 16oz. Bud Light / $4 22oz. Bud Light, 16oz. Modelo / $5 22oz. Modelo, Red & White Wine by the Glass / $6 Tequila Trifecta, Straw-Eddy Rita, Sangria Rita","Bussines hour: 11:00 AM - 11:00 PM Happy hour: 3:00 PM -  6:00 PM Today deal: $3 16oz. Bud Light / $4 22oz. Bud Light, 16oz. Modelo / $5 22oz. Modelo, Red & White Wine by the Glass / $6 Tequila Trifecta, Straw-Eddy Rita, Sangria Rita","Bussines hour: 11:00 AM - 11:00 PM Happy hour: 11:00 AM -  6:00 PM Today deal: $3 16oz. Bud Light / $4 22oz. Bud Light, 16oz. Modelo / $5 22oz. Modelo, Red & White Wine by the Glass / $6 Tequila Trifecta, Straw-Eddy Rita, Sangria Rita"
36,Chili's Grill & Bar,"2627 Vista Way Oceanside, CA 92054",(760) 967-1064,"Bussines hour: 11:00 AM - 10:00 PM Happy hour: 11:00 AM -  6:00 PM Today deal: $3 16oz. Bud Light / $4 22oz. Bud Light, 16oz. Modelo / $5 22oz. Modelo, Red & White Wine by the Glass / $6 Tequila Trifecta, Straw-Eddy Rita, Sangria Rita $3 16oz. Bud Light / $4 22oz. Bud Light, 16oz. Modelo / $5 22oz. Modelo, Red & White Wine by the Glass / $6 Tequila Trifecta, Straw-Eddy Rita, Sangria Rita","Bussines hour: 11:00 AM - 10:00 PM Happy hour: 3:00 PM -  6:00 PM Today deal: $3 16oz. Bud Light / $4 22oz. Bud Light, 16oz. Modelo / $5 22oz. Modelo, Red & White Wine by the Glass / $6 Tequila Trifecta, Straw-Eddy Rita, Sangria Rita $3 16oz. Bud Light / $4 22oz. Bud Light, 16oz. Modelo / $5 22oz. Modelo, Red & White Wine by the Glass / $6 Tequila Trifecta, Straw-Eddy Rita, Sangria Rita","Bussines hour: 11:00 AM - 10:00 PM Happy hour: 3:00 PM -  6:00 PM Today deal: $3 16oz. Bud Light / $4 22oz. Bud Light, 16oz. Modelo / $5 22oz. Modelo, Red & White Wine by the Glass / $6 Tequila Trifecta, Straw-Eddy Rita, Sangria Rita $3 16oz. Bud Light / $4 22oz. Bud Light, 16oz. Modelo / $5 22oz. Modelo, Red & White Wine by the Glass / $6 Tequila Trifecta, Straw-Eddy Rita, Sangria Rita","Bussines hour: 11:00 AM - 10:00 PM Happy hour: 3:00 PM -  6:00 PM Today deal: $3 16oz. Bud Light / $4 22oz. Bud Light, 16oz. Modelo / $5 22oz. Modelo, Red & White Wine by the Glass / $6 Tequila Trifecta, Straw-Eddy Rita, Sangria Rita","Bussines hour: 11:00 AM - 10:00 PM Happy hour: 3:00 PM -  6:00 PM Today deal: $3 16oz. Bud Light / $4 22oz. Bud Light, 16oz. Modelo / $5 22oz. Modelo, Red & White Wine by the Glass / $6 Tequila Trifecta, Straw-Eddy Rita, Sangria Rita","Bussines hour: 11:00 AM - 11:00 PM Happy hour: 3:00 PM -  6:00 PM Today deal: $3 16oz. Bud Light / $4 22oz. Bud Light, 16oz. Modelo / $5 22oz. Modelo, Red & White Wine by the Glass / $6 Tequila Trifecta, Straw-Eddy Rita, Sangria Rita","Bussines hour: 11:00 AM - 11:00 PM Happy hour: 11:00 AM -  6:00 PM Today deal: $3 16oz. Bud Light / $4 22oz. Bud Light, 16oz. Modelo / $5 22oz. Modelo, Red & White Wine by the Glass / $6 Tequila Trifecta, Straw-Eddy Rita, Sangria Rita"
37,Las Hadas Bar & Grill,"558 Fourth Ave. San Diego, CA 92101",(619) 232-1720,Bussines hour: 12:00 PM - 12:00 AM Happy hour: Not Happy Hour Today deal: No Specials,Bussines hour: 3:00 PM -  1:00 AM Happy hour: 4:00 PM -  9:00 PM Today deal: No Specials,"Bussines hour: 3:00 PM -  1:00 AM Happy hour: 4:00 PM -  9:00 PM Today deal: $5 Mexican Beers, Cazadores & Patron Shots 1/2 Off All Cazadores Margaritas: Blood Orange, Call Her Rita, Carona- Rita, The Caddy Daddy, Fruit Cart or Watermelon ","Bussines hour: 3:00 PM -  1:00 AM Happy hour: Not Happy Hour Today deal: $5 Mexican Beers, Cazadores & Patron Shots 1/2 Off All Cazadores Margaritas: Blood Orange, Call Her Rita, Carona- Rita, The Caddy Daddy, Fruit Cart or Watermelon ","Bussines hour: 3:00 PM -  1:00 AM Happy hour: Not Happy Hour Today deal: $5 Mexican Beers, Cazadores & Patron Shots 1/2 Off All Cazadores Margaritas: Blood Orange, Call Her Rita, Carona- Rita, The Caddy Daddy, Fruit Cart or Watermelon ","Bussines hour: 3:00 PM -  1:00 AM Happy hour: Not Happy Hour Today deal: $10 Patron or Cazadores Margaritas 4:00 PM - 9:00 PM
$3 Taco: Chicken, Carnitas or Fish / $4 Taco: Shrimp or Veggie","Bussines hour: 12:00 PM - 12:00 AM Happy hour: Not Happy Hour Today deal: $10 Patron or Cazadores Margaritas 4:00 PM - 9:00 PM
$3 Taco: Chicken, Carnitas or Fish / $4 Taco: Shrimp or Veggie"
38,Taste & Thirst,"715 Fourth Ave. San Diego, CA 92101",(619) 955-5995,"Bussines hour: 9:30 AM -  2:00 AM Happy hour: 3:00 PM -  8:00 PM Today deal: 1/2 Off All Drinks, Draft & Bottled Beers $1 Off All Burgers / $2 Off Boneless Wings / $3 Off Quesadillas / $4 Chicharones / $5 Lemon Pepper Fries / $6 Truffle Tots","Bussines hour: 3:00 PM -  2:00 AM Happy hour: 3:00 PM -  8:00 PM Today deal: 1/2 Off All Drinks, Draft & Bottled Beers $1 Off All Burgers / $2 Off Boneless Wings / $3 Off Quesadillas / $4 Chicharones / $5 Lemon Pepper Fries / $6 Truffle Tots","Bussines hour: 3:00 PM -  2:00 AM Happy hour: 3:00 PM -  8:00 PM Today deal: 1/2 Off All Drinks, Draft & Bottled Beers $1 Off All Burgers / $2 Off Boneless Wings / $3 Off Quesadillas / $4 Chicharones / $5 Lemon Pepper Fries / $6 Truffle Tots","Bussines hour: 9:30 AM -  2:00 AM Happy hour: 3:00 PM -  8:00 PM Today deal: 1/2 Off All Drinks, Draft & Bottled Beers $1 Off All Burgers / $2 Off Boneless Wings / $3 Off Quesadillas / $4 Chicharones / $5 Lemon Pepper Fries / $6 Truffle Tots","Bussines hour: 9:30 AM -  2:00 AM Happy hour: 3:00 PM -  8:00 PM Today deal: 1/2 Off All Drinks, Draft & Bottled Beers $1 Off All Burgers / $2 Off Boneless Wings / $3 Off Quesadillas / $4 Chicharones / $5 Lemon Pepper Fries / $6 Truffle Tots","Bussines hour: 9:30 AM -  2:00 AM Happy hour: 3:00 PM -  8:00 PM Today deal: 1/2 Off All Drinks, Draft & Bottled Beers $1 Off All Burgers / $2 Off Boneless Wings / $3 Off Quesadillas / $4 Chicharones / $5 Lemon Pepper Fries / $6 Truffle Tots","Bussines hour: 9:30 AM -  2:00 AM Happy hour: 3:00 PM -  8:00 PM Today deal: 1/2 Off All Drinks, Draft & Bottled Beers $1 Off All Burgers / $2 Off Boneless Wings / $3 Off Quesadillas / $4 Chicharones / $5 Lemon Pepper Fries / $6 Truffle Tots"
39,710 Beach Club,"710 Garnet Ave. San Diego, CA 92109",(858) 483-7844,Bussines hour: 10:00 AM -  2:00 AM Happy hour: 10:30 AM -  2:00 PM Today deal: $26 All You Can Eat Brunch,Bussines hour: 2:00 PM -  8:00 PM Happy hour: 2:00 PM -  9:00 PM Today deal: $26 All You Can Eat Brunch,"Bussines hour: 11:30 AM -  2:00 AM Happy hour: 1:30 PM -  9:00 PM Today deal: $10 Cheese Pizza ALL DAY
$7.10 Drink Specials","Bussines hour: 11:30 AM -  2:00 AM Happy hour: 1:30 PM -  9:00 PM Today deal: $10 Cheese Pizza ALL DAY
$7.10 Drink Specials","Bussines hour: 11:30 AM -  2:00 AM Happy hour: 1:30 PM -  9:00 PM Today deal: $10 Cheese Pizza ALL DAY
$7.10 Drink Specials","Bussines hour: 11:30 AM -  2:00 AM Happy hour: 1:30 PM -  9:00 PM Today deal: $7.10 Any Two Tacos ALL DAY
2 for 1 Tequila Shots / $4 Dos XX, Pacifico / $7.10 Margaritas","Bussines hour: 11:00 AM -  2:00 AM Happy hour: 11:00 AM -  3:00 PM Today deal: $7.10 Any Two Tacos ALL DAY
2 for 1 Tequila Shots / $4 Dos XX, Pacifico / $7.10 Margaritas"
40,Bub's at the Beach,"1030 Garnet Ave. San Diego, CA 92109",(858) 270-7269,Bussines hour: 12:00 PM - 11:00 PM Happy hour: 11:00 AM -  1:00 PM Today deal: $6 Twisted Tea Drafts / $7 Breakfast Shots / $9 House Bloody Mary / $16 Champagne Bottle,Bussines hour: 12:00 PM - 11:00 PM Happy hour: 3:00 PM -  5:00 PM Today deal: $6 Twisted Tea Drafts / $7 Breakfast Shots / $9 House Bloody Mary / $16 Champagne Bottle,"Bussines hour: 12:00 PM - 11:00 PM Happy hour: 3:00 PM - 11:00 PM Today deal: $5 Select Drafts, Well Drinks  $1 Wings (increments of 5): 21 Flavors / $3 Tater Tots, Seasoned Fries / $3.50  Red Sweet Potato Tots, Onion Rings","Bussines hour: 12:00 PM - 11:00 PM Happy hour: 12:00 PM - 11:00 PM Today deal: $5 Select Drafts, Well Drinks  $1 Wings (increments of 5): 21 Flavors / $3 Tater Tots, Seasoned Fries / $3.50  Red Sweet Potato Tots, Onion Rings","Bussines hour: 12:00 PM - 11:00 PM Happy hour: 3:00 PM -  5:00 PM Today deal: $5 Select Drafts, Well Drinks  $1 Wings (increments of 5): 21 Flavors / $3 Tater Tots, Seasoned Fries / $3.50  Red Sweet Potato Tots, Onion Rings","Bussines hour: 12:00 PM -  1:00 AM Happy hour: 3:00 PM -  5:00 PM Today deal: $5 Select Drafts, Well Drinks  $1 Wings (increments of 5): 21 Flavors / $3 Tater Tots, Seasoned Fries / $3.50  Red Sweet Potato Tots, Onion Rings","Bussines hour: 12:00 PM -  1:00 AM Happy hour: 10:00 PM - 12:30 AM Today deal: $5 Select Drafts, Well Drinks  $1 Wings (increments of 5): 21 Flavors / $3 Tater Tots, Seasoned Fries / $3.50  Red Sweet Potato Tots, Onion Rings"
41,Duke's La Jolla,"1216 Prospect St. La Jolla, CA 92037",(858) 454-5888,Bussines hour: 10:00 AM -  9:00 PM Happy hour: 10:00 AM -  3:00 PM Today deal: $8 Mimosa (traditional or island style) / $9 Pog Slushie / $12 Black Salt Bloody Mary / $13 Aperol Sritz $13.50 - $23.50 Brunch Menu,Bussines hour: 11:00 AM -  9:00 PM Happy hour: Not Happy Hour Today deal: $8 Mimosa (traditional or island style) / $9 Pog Slushie / $12 Black Salt Bloody Mary / $13 Aperol Sritz $13.50 - $23.50 Brunch Menu,Bussines hour: 11:00 AM -  9:00 PM Happy hour: 3:00 PM -  9:00 PM Today deal: $8 Mimosa (traditional or island style) / $9 Pog Slushie / $12 Black Salt Bloody Mary / $13 Aperol Sritz $13.50 - $23.50 Brunch Menu,Bussines hour: 11:00 AM -  9:00 PM Happy hour: Not Happy Hour Today deal: No Specials,Bussines hour: 11:00 AM -  9:00 PM Happy hour: 5:00 PM -  9:00 PM Today deal: No Specials,"Bussines hour: 11:00 AM -  9:00 PM Happy hour: 3:00 PM -  6:00 PM Today deal: $5 Pacifico / $8 Duke's Margaritas 3:00 PM - 9:00 PM
$14 Two Tacos w/Chips & Salsa: Fresh Fish, Kalua Pork,  Chipotle Chicken or Togarashi Shrimp 
[Special available in the Barefoot Bar]","Bussines hour: 10:00 AM -  9:00 PM Happy hour: 10:00 AM -  3:00 PM Today deal: $5 Pacifico / $8 Duke's Margaritas 3:00 PM - 9:00 PM
$14 Two Tacos w/Chips & Salsa: Fresh Fish, Kalua Pork,  Chipotle Chicken or Togarashi Shrimp 
[Special available in the Barefoot Bar]"
42,Dunedin,"3501 30th St. San Diego, CA 92104",(619) 255-8566,"Bussines hour: 9:00 AM - 10:00 PM Happy hour: 3:00 PM -  6:00 PM Today deal: $7 Draft Beer & House Wine (red, white or rosé) / $9 Margarita, Moscow Mule, Old Fashioned $8 Slider: Meso Tasty, Hog n Heffers, Lamb or Kiwilango, Calamari, Hummus & Veggies, Pretzel Bites w/Jalapeno Cheese, Classic New Zealand Onion Dip w/Fresh House Made Potato Chips","Bussines hour: 11:00 AM - 10:00 PM Happy hour: 3:00 PM -  6:00 PM Today deal: $7 Draft Beer & House Wine (red, white or rosé) / $9 Margarita, Moscow Mule, Old Fashioned $8 Slider: Meso Tasty, Hog n Heffers, Lamb or Kiwilango, Calamari, Hummus & Veggies, Pretzel Bites w/Jalapeno Cheese, Classic New Zealand Onion Dip w/Fresh House Made Potato Chips","Bussines hour: 11:00 AM - 10:00 PM Happy hour: 3:00 PM -  6:00 PM Today deal: $7 Draft Beer & House Wine (red, white or rosé) / $9 Margarita, Moscow Mule, Old Fashioned $8 Slider: Meso Tasty, Hog n Heffers, Lamb or Kiwilango, Calamari, Hummus & Veggies, Pretzel Bites w/Jalapeno Cheese, Classic New Zealand Onion Dip w/Fresh House Made Potato Chips","Bussines hour: 11:00 AM - 10:00 PM Happy hour: 3:00 PM -  6:00 PM Today deal: $7 Draft Beer & House Wine (red, white or rosé) / $9 Margarita, Moscow Mule, Old Fashioned $8 Slider: Meso Tasty, Hog n Heffers, Lamb or Kiwilango, Calamari, Hummus & Veggies, Pretzel Bites w/Jalapeno Cheese, Classic New Zealand Onion Dip w/Fresh House Made Potato Chips","Bussines hour: 11:00 AM - 10:00 PM Happy hour: 3:00 PM -  6:00 PM Today deal: $7 Draft Beer & House Wine (red, white or rosé) / $9 Margarita, Moscow Mule, Old Fashioned $8 Slider: Meso Tasty, Hog n Heffers, Lamb or Kiwilango, Calamari, Hummus & Veggies, Pretzel Bites w/Jalapeno Cheese, Classic New Zealand Onion Dip w/Fresh House Made Potato Chips","Bussines hour: 11:00 AM - 11:00 PM Happy hour: 3:00 PM -  6:00 PM Today deal: $7 Draft Beer & House Wine (red, white or rosé) / $9 Margarita, Moscow Mule, Old Fashioned $8 Slider: Meso Tasty, Hog n Heffers, Lamb or Kiwilango, Calamari, Hummus & Veggies, Pretzel Bites w/Jalapeno Cheese, Classic New Zealand Onion Dip w/Fresh House Made Potato Chips","Bussines hour: 9:00 AM - 11:00 PM Happy hour: 3:00 PM -  6:00 PM Today deal: $7 Draft Beer & House Wine (red, white or rosé) / $9 Margarita, Moscow Mule, Old Fashioned $8 Slider: Meso Tasty, Hog n Heffers, Lamb or Kiwilango, Calamari, Hummus & Veggies, Pretzel Bites w/Jalapeno Cheese, Classic New Zealand Onion Dip w/Fresh House Made Potato Chips"
43,Pacific Beach Shore Club,"4343 Ocean Blvd. San Diego, CA 92109",(858) 272-7873,Bussines hour: 9:00 AM - 12:00 AM Happy hour: Not Happy Hour Today deal: No Specials,Bussines hour: 10:00 AM - 12:00 AM Happy hour: 8:00 PM - 12:00 AM Today deal: No Specials,Bussines hour: 10:00 AM - 12:00 AM Happy hour: 4:00 PM - 12:00 AM Today deal: $5 Select Spirits ShoreVeza Mexican Lager: $5 (16 oz.) or $7 (20 oz.) / $10 Burger & Beer,Bussines hour: 10:00 AM -  2:00 AM Happy hour: 8:00 PM -  1:30 AM Today deal: $5 Select Spirits ShoreVeza Mexican Lager: $5 (16 oz.) or $7 (20 oz.) / $10 Burger & Beer,Bussines hour: 10:00 AM -  2:00 AM Happy hour: 4:00 PM -  1:30 AM Today deal: $5 Select Spirits ShoreVeza Mexican Lager: $5 (16 oz.) or $7 (20 oz.) / $10 Burger & Beer,Bussines hour: 10:00 AM -  2:00 AM Happy hour: 4:00 PM -  8:00 PM Today deal: $5 Select Spirits ShoreVeza Mexican Lager: $5 (16 oz.) or $7 (20 oz.) / $10 Burger & Beer,Bussines hour: 9:00 AM -  2:00 AM Happy hour: Not Happy Hour Today deal: $3 All Drafts / $5 Ketel One & Crown Royal $3 Hot Dogs 
44,Yard House,"1640 Camino del Rio North San Diego, CA 92108",(619) 574-0468,"Bussines hour: 11:00 AM - 11:00 PM Happy hour: 10:00 PM - 11:00 PM Today deal: $2 Off All Draft Beer, Wine, Spirits & Cocktails / $3 Off 9oz. Wine by the Glass / $4 Off Half Yards [Happy Hour available for Dine-In only.]","Bussines hour: 11:00 AM - 11:00 PM Happy hour: 3:00 PM -  6:00 PM Today deal: $2 Off All Draft Beer, Wine, Spirits & Cocktails / $3 Off 9oz. Wine by the Glass / $4 Off Half Yards [Happy Hour available for Dine-In only.]","Bussines hour: 11:00 AM - 11:00 PM Happy hour: 3:00 PM -  6:00 PM Today deal: $2 Off All Draft Beer, Wine, Spirits & Cocktails / $3 Off 9oz. Wine by the Glass / $4 Off Half Yards [Happy Hour available for Dine-In only.]","Bussines hour: 11:00 AM - 11:00 PM Happy hour: 3:00 PM -  6:00 PM Today deal: $2 Off All Draft Beer, Wine, Spirits & Cocktails / $3 Off 9oz. Wine by the Glass / $4 Off Half Yards 1/2 Off Select Appetizers & Pizzas (Reg. Price: $12.49 - $17.49): Hand Battered Chicken Tenders, Gardein or Boneless Wings (Buffalo, Whiskey Black Pepper, BBQ, Korean Chili Garlic, Lemon Pepper Dry Rub), Fried Calamari, Four Cheese Spinach Dip, Chicken Nachos, Chicken Lettuce Wraps, Wisconsin Fried Cheese Curds, Queso Dip, Classic Sliders, Poke Nachos, Blackened Ahi Sashimi, Pizza (Margherita, Three Cheese, BBQ Chicken, The Carnivore, Pepperoni & Mushroom)","Bussines hour: 11:00 AM - 11:00 PM Happy hour: 3:00 PM -  6:00 PM Today deal: $2 Off All Draft Beer, Wine, Spirits & Cocktails / $3 Off 9oz. Wine by the Glass / $4 Off Half Yards 1/2 Off Select Appetizers & Pizzas (Reg. Price: $12.49 - $17.49): Hand Battered Chicken Tenders, Gardein or Boneless Wings (Buffalo, Whiskey Black Pepper, BBQ, Korean Chili Garlic, Lemon Pepper Dry Rub), Fried Calamari, Four Cheese Spinach Dip, Chicken Nachos, Chicken Lettuce Wraps, Wisconsin Fried Cheese Curds, Queso Dip, Classic Sliders, Poke Nachos, Blackened Ahi Sashimi, Pizza (Margherita, Three Cheese, BBQ Chicken, The Carnivore, Pepperoni & Mushroom)","Bussines hour: 11:00 AM - 11:30 PM Happy hour: 3:00 PM -  6:00 PM Today deal: $2 Off All Draft Beer, Wine, Spirits & Cocktails / $3 Off 9oz. Wine by the Glass / $4 Off Half Yards 1/2 Off Select Appetizers & Pizzas (Reg. Price: $12.49 - $17.49): Hand Battered Chicken Tenders, Gardein or Boneless Wings (Buffalo, Whiskey Black Pepper, BBQ, Korean Chili Garlic, Lemon Pepper Dry Rub), Fried Calamari, Four Cheese Spinach Dip, Chicken Nachos, Chicken Lettuce Wraps, Wisconsin Fried Cheese Curds, Queso Dip, Classic Sliders, Poke Nachos, Blackened Ahi Sashimi, Pizza (Margherita, Three Cheese, BBQ Chicken, The Carnivore, Pepperoni & Mushroom)","Bussines hour: 11:00 AM - 11:30 PM Happy hour: Not Happy Hour Today deal: $2 Off All Draft Beer, Wine, Spirits & Cocktails / $3 Off 9oz. Wine by the Glass / $4 Off Half Yards 1/2 Off Select Appetizers & Pizzas (Reg. Price: $12.49 - $17.49): Hand Battered Chicken Tenders, Gardein or Boneless Wings (Buffalo, Whiskey Black Pepper, BBQ, Korean Chili Garlic, Lemon Pepper Dry Rub), Fried Calamari, Four Cheese Spinach Dip, Chicken Nachos, Chicken Lettuce Wraps, Wisconsin Fried Cheese Curds, Queso Dip, Classic Sliders, Poke Nachos, Blackened Ahi Sashimi, Pizza (Margherita, Three Cheese, BBQ Chicken, The Carnivore, Pepperoni & Mushroom)"
45,The Local Pacific Beach,"809 Thomas Ave. San Diego, CA 92109",(858) 263-7475,Bussines hour: 10:00 AM -  1:00 AM Happy hour: 10:00 AM -  2:00 PM Today deal: $10 - $15 Signature Brunch Cocktails / $85 Champagne Tower: 3 Liters of Bubbly w/Two Juices  $13 - $45 Brunch Menu ,Closed,Bussines hour: 4:00 PM - 10:00 PM Happy hour: 4:00 PM -  8:00 PM Today deal: $10 - $15 Signature Brunch Cocktails / $85 Champagne Tower: 3 Liters of Bubbly w/Two Juices  $13 - $45 Brunch Menu ,Bussines hour: 12:00 PM - 12:00 AM Happy hour: 4:00 PM -  8:00 PM Today deal: Closed,"Bussines hour: 12:00 PM - 12:00 AM Happy hour: 8:00 PM - 12:00 AM Today deal: $6 Wells, Drafts & House Wine Glasses","Bussines hour: 12:00 PM -  2:00 AM Happy hour: 12:00 PM -  7:00 PM Today deal: $6 Wells, Drafts & House Wine Glasses","Bussines hour: 10:00 AM -  2:00 AM Happy hour: 10:00 AM -  2:00 PM Today deal:  $6 Wells, Drafts & House Wine Glasses $6 Nachos, Salty Pretzel Balls, Baja Fish Taco, Buffalo Cauliflower / $10 Bone-In Wings (6): Buffalo, Smokeshow, Lemon Pepper, Garlic Parmesan, Honey BBQ, Dry, Orange Chicken"
46,South Beach Bar & Grille,"5059 Newport Ave. San Diego, CA 92107",(619) 226-4577,Bussines hour: 12:00 PM - 10:00 PM Happy hour: 12:00 PM -  2:00 PM Today deal: $5 Bloody Marys / $8 Champagne Bottles,Bussines hour: 12:00 PM - 11:00 PM Happy hour: 3:00 PM -  6:00 PM Today deal: $5 Bloody Marys / $8 Champagne Bottles,"Bussines hour: 12:00 PM - 10:00 PM Happy hour: 3:00 PM -  6:00 PM Today deal: $2 Fresh Cut Fries / $3.50 Clam Strips / $4 Guacamole w/Chips & Salsa / $4.50 Jalapeño Poppers / $6 Peel & Eat Shrimp / $6.50 Fried Calamari Strips, Chicken Nachos, Carne Asada Fries","Bussines hour: 12:00 PM - 10:00 PM Happy hour: 3:00 PM -  6:00 PM Today deal: $2 Fresh Cut Fries / $3.50 Clam Strips / $4 Guacamole w/Chips & Salsa / $4.50 Jalapeño Poppers / $6 Peel & Eat Shrimp / $6.50 Fried Calamari Strips, Chicken Nachos, Carne Asada Fries","Bussines hour: 12:00 PM - 10:00 PM Happy hour: 3:00 PM -  6:00 PM Today deal: $2 Fresh Cut Fries / $3.50 Clam Strips / $4 Guacamole w/Chips & Salsa / $4.50 Jalapeño Poppers / $6 Peel & Eat Shrimp / $6.50 Fried Calamari Strips, Chicken Nachos, Carne Asada Fries $3.95 All Tacos (excluding lobster) / $7 Patron Margarita","Bussines hour: 12:00 PM - 10:00 PM Happy hour: 3:00 PM -  6:00 PM Today deal: $2 Fresh Cut Fries / $3.50 Clam Strips / $4 Guacamole w/Chips & Salsa / $4.50 Jalapeño Poppers / $6 Peel & Eat Shrimp / $6.50 Fried Calamari Strips, Chicken Nachos, Carne Asada Fries $3.95 All Tacos (excluding lobster) / $7 Patron Margarita","Bussines hour: 12:00 PM - 10:00 PM Happy hour: 12:00 PM -  2:00 PM Today deal: $2 Fresh Cut Fries / $3.50 Clam Strips / $4 Guacamole w/Chips & Salsa / $4.50 Jalapeño Poppers / $6 Peel & Eat Shrimp / $6.50 Fried Calamari Strips, Chicken Nachos, Carne Asada Fries $3.95 All Tacos (excluding lobster) / $7 Patron Margarita"
47,American Junkie,"628 Fifth Ave. San Diego, CA 92101",(619) 255-1981,Bussines hour: 12:00 PM - 10:00 PM Happy hour: Not Happy Hour Today deal: No Specials,Closed,Bussines hour: 5:00 PM -  2:00 AM Happy hour: 5:00 PM -  7:00 PM Today deal: Closed,"Bussines hour: 5:00 PM -  2:00 AM Happy hour: 5:00 PM -  7:00 PM Today deal: $4 Draft Coors Light, XX or Pacifico / $7 Cadillac Margarita, Not So Old Fashioned / $8 Frozen Drinks / $9 Junkie Cup & Coco Mango Cup  $7 Chips w/Salsa & Guacamole, Giant Pretzel w/Honey Mustard & Chipotle Cheese, Mozzarella Sticks / $8 Cauliflower Bites / $9 Nachos, Breaded Mac & Cheese Balls / $10 Crispy Rock Shrimp, Carne Asada Fries, Chicken Tenders, Chicken Wings (bone-in or boneless): Smoked Whiskey BBQ, Classic Buffalo, Honey Jalapeño, Lemon Pepper or Cajun","Bussines hour: 5:00 PM -  2:00 AM Happy hour: 5:00 PM -  7:00 PM Today deal: $4 Draft Coors Light, XX or Pacifico / $7 Cadillac Margarita, Not So Old Fashioned / $8 Frozen Drinks / $9 Junkie Cup & Coco Mango Cup  $7 Chips w/Salsa & Guacamole, Giant Pretzel w/Honey Mustard & Chipotle Cheese, Mozzarella Sticks / $8 Cauliflower Bites / $9 Nachos, Breaded Mac & Cheese Balls / $10 Crispy Rock Shrimp, Carne Asada Fries, Chicken Tenders, Chicken Wings (bone-in or boneless): Smoked Whiskey BBQ, Classic Buffalo, Honey Jalapeño, Lemon Pepper or Cajun","Bussines hour: 5:00 PM -  2:00 AM Happy hour: 5:00 PM -  8:00 PM Today deal: $4 Draft Coors Light, XX or Pacifico / $7 Cadillac Margarita, Not So Old Fashioned / $8 Frozen Drinks / $9 Junkie Cup & Coco Mango Cup  $7 Chips w/Salsa & Guacamole, Giant Pretzel w/Honey Mustard & Chipotle Cheese, Mozzarella Sticks / $8 Cauliflower Bites / $9 Nachos, Breaded Mac & Cheese Balls / $10 Crispy Rock Shrimp, Carne Asada Fries, Chicken Tenders, Chicken Wings (bone-in or boneless): Smoked Whiskey BBQ, Classic Buffalo, Honey Jalapeño, Lemon Pepper or Cajun","Bussines hour: 1:00 PM -  2:00 AM Happy hour: Not Happy Hour Today deal: $4 Draft Coors Light, XX or Pacifico / $7 Cadillac Margarita, Not So Old Fashioned / $8 Frozen Drinks / $9 Junkie Cup & Coco Mango Cup  $7 Chips w/Salsa & Guacamole, Giant Pretzel w/Honey Mustard & Chipotle Cheese, Mozzarella Sticks / $8 Cauliflower Bites / $9 Nachos, Breaded Mac & Cheese Balls / $10 Crispy Rock Shrimp, Carne Asada Fries, Chicken Tenders, Chicken Wings (bone-in or boneless): Smoked Whiskey BBQ, Classic Buffalo, Honey Jalapeño, Lemon Pepper or Cajun"
